ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
1415;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;24;1999;28;28;2496;0;0;0;0;2;0;0.0;0.0
1416;Yoel Lago;es ESP;DF;Celta Vigo;es La Liga;19;2004;1;1;90;0;0;0;0;0;0;0.0;0.0
1417;Aïssa Laïdouni;tn TUN;MF;Union Berlin;de Bundesliga;26;1996;23;10;1071;0;3;3;0;2;0;0.7;1.0
1418;Konrad Laimer;at AUT;DF,MF;Bayern Munich;de Bundesliga;26;1997;29;18;1772;0;3;3;0;3;0;1.0;3.9
1419;Stefan Lainer;at AUT;DF,MF;Gladbach;de Bundesliga;30;1992;15;8;751;0;1;1;0;2;0;0.2;0.7
1420;Kenny Lala;mg MAD;DF;Brest;fr Ligue 1;31;1991;33;33;2970;2;3;5;2;7;0;0.5;3.3
1421;Adam Lallana;eng ENG;MF,FW;Brighton;eng Premier League;35;1988;25;13;850;0;1;1;0;2;0;0.8;1.7
1422;Mathis Lambourde;fr FRA;FW;Rennes;fr Ligue 1;17;2006;1;0;10;0;0;0;0;0;0;0.0;0.0
1423;Érik Lamela;ar ARG;FW,MF;Sevilla;es La Liga;31;1992;13;5;463;2;0;2;2;3;0;1.0;1.0
1424;Mohamed Lamine Bayo;gn GUI;FW;Le Havre;fr Ligue 1;25;1998;22;16;1389;5;1;6;3;4;0;7.2;0.6
1425;Didier Lamkel Zé;cm CMR;FW,MF;Metz;fr Ligue 1;26;1996;9;7;550;1;0;1;1;1;0;1.6;0.9
1426;Tariq Lamptey;gh GHA;DF,FW;Brighton;eng Premier League;22;2000;19;10;914;0;3;3;0;3;0;0.4;1.2
1427;Bruno Langa;mz MOZ;DF;Almería;es La Liga;25;1997;11;9;820;1;0;1;1;1;1;0.2;0.4
1428;Gianluca Lapadula;pe PER;FW;Cagliari;it Serie A;33;1990;23;14;1205;3;1;4;2;3;0;4.8;1.1
1429;Aymeric Laporte;es ESP;DF;Manchester City;eng Premier League;29;1994;1;0;12;0;0;0;0;0;0;0.0;0.0
1430;Julien Laporte;fr FRA;DF;Lorient;fr Ligue 1;29;1993;23;20;1818;0;0;0;0;4;0;0.8;0.0
1431;Cyle Larin;ca CAN;FW;Mallorca;es La Liga;28;1995;35;20;1823;3;2;5;3;8;0;9.0;1.4
1432;Yasser Larouci;dz ALG;DF;Sheffield Utd;eng Premier League;22;2001;11;6;531;0;0;0;0;1;0;0.2;0.3
1433;Hugo Larsson;se SWE;MF;Eint Frankfurt;de Bundesliga;19;2004;29;21;1886;2;1;3;2;1;0;1.3;1.4
1434;Jamaal Lascelles;eng ENG;DF;Newcastle Utd;eng Premier League;29;1993;16;13;1080;1;0;1;1;4;0;0.7;0.1
1435;Juanmi Latasa;es ESP;FW;Getafe;es La Liga;22;2001;32;15;1555;2;0;2;2;7;1;3.6;1.5
1436;Toni Lato;es ESP;DF;Mallorca;es La Liga;25;1997;28;16;1544;0;1;1;0;3;0;0.2;1.3
1437;Armand Lauriente;fr FRA;FW;Sassuolo;it Serie A;24;1998;37;35;2908;5;4;9;5;5;0;5.7;4.0
